name,team,position,minutes,goals_scored,assists,clean_sheets,yellow_cards,red_cards
Tommy Setford,Arsenal,GK,0,0,0,0,0,0
Norberto Murara Neto,Arsenal,GK,0,0,0,0,0,0
David Raya Martin,Arsenal,GK,1260,0,0,5,2,0
Aaron Ramsdale,Arsenal,GK,0,0,0,0,0,0
Karl Hein,Arsenal,GK,0,0,0,0,0,0
Maldini Kacurri,Arsenal,DEF,0,0,0,0,0,0
Jakub Kiwior,Arsenal,DEF,233,0,0,1,0,0
Tomiyasu Takehiro,Arsenal,DEF,6,0,0,0,0,0
Oleksandr Zinchenko,Arsenal,DEF,234,0,0,2,1,0
Gabriel dos Santos Magalhães,Arsenal,DEF,1088,3,1,4,1,0
William Saliba,Arsenal,DEF,1109,1,0,5,2,1
Ayden Heaven,Arsenal,DEF,0,0,0,0,0,0
Riccardo Calafiori,Arsenal,DEF,505,1,0,1,1,0
Benjamin White,Arsenal,DEF,694,0,1,3,2,0
Kieran Tierney,Arsenal,DEF,0,0,0,0,0,0
Josh Nichols,Arsenal,DEF,0,0,0,0,0,0
Jurriën Timber,Arsenal,DEF,950,1,1,4,3,0
Ismeal Kabia,Arsenal,MID,0,0,0,0,0,0
Gabriel Martinelli Silva,Arsenal,MID,748,3,2,4,0,0
Fábio Ferreira Vieira,Arsenal,MID,0,0,0,0,0,0
Ethan Nwaneri,Arsenal,MID,65,1,0,0,0,0
Raheem Sterling,Arsenal,MID,144,0,1,0,0,0
Salah-Eddine Oulad M'hand,Arsenal,MID,0,0,0,0,0,0
Reiss Nelson,Arsenal,MID,2,0,0,0,0,0
Declan Rice,Arsenal,MID,1012,0,2,3,2,1
Bukayo Saka,Arsenal,MID,1065,5,11,5,3,0
Myles Lewis-Skelly,Arsenal,MID,15,0,0,0,1,0
Thomas Partey,Arsenal,MID,1107,2,1,4,2,0
Mikel Merino,Arsenal,MID,387,1,0,1,1,0
Martin Ødegaard,Arsenal,MID,586,1,2,4,1,0
Jorge Luiz Frello Filho,Arsenal,MID,290,0,0,1,3,0
Leandro Trossard,Arsenal,MID,779,3,2,3,0,1
Gabriel Fernando de Jesus,Arsenal,FWD,227,0,0,1,4,0
Eddie Nketiah,Arsenal,FWD,0,0,0,0,0,0
Nathan Butler-Oyedeji,Arsenal,FWD,0,0,0,0,0,0
Kai Havertz,Arsenal,FWD,1170,5,1,4,2,0
Emiliano Martínez Romero,Aston Villa,GK,1215,0,0,1,1,0
Robin Olsen,Aston Villa,GK,45,0,0,0,0,0
Joe Gauci,Aston Villa,GK,0,0,0,0,0,0
Viljami Sinisalo,Aston Villa,GK,0,0,0,0,0,0
Filip Marschall,Aston Villa,GK,0,0,0,0,0,0
Oliwier Zych,Aston Villa,GK,0,0,0,0,0,0
Tyrone Mings,Aston Villa,DEF,90,0,0,0,0,0
Lamare Bogarde,Aston Villa,DEF,213,0,0,0,1,0
Diego Carlos Santos Silva,Aston Villa,DEF,558,0,0,1,1,0
Lino da Cruz Sousa,Aston Villa,DEF,0,0,0,0,0,0
Lucas Digne,Aston Villa,DEF,1042,0,3,2,3,0
Pau Torres,Aston Villa,DEF,1170,0,0,1,1,0
Kosta Nedeljković,Aston Villa,DEF,93,0,0,0,0,0
Matty Cash,Aston Villa,DEF,650,1,0,1,3,0
Ian Maatsen,Aston Villa,DEF,223,0,0,0,1,0
Kaine Kesler-Hayden,Aston Villa,DEF,0,0,0,0,0,0
Kortney Hause,Aston Villa,DEF,0,0,0,0,0,0
Ezri Konsa Ngoyo,Aston Villa,DEF,1001,1,0,0,0,0
Sil Swinkels,Aston Villa,DEF,0,0,0,0,0,0
Álex Moreno Lopera,Aston Villa,DEF,0,0,0,0,0,0
Emiliano Buendía Stati,Aston Villa,MID,37,0,0,0,1,0
Leon Bailey,Aston Villa,MID,669,0,2,1,2,0
Lewis Dobbin,Aston Villa,MID,0,0,0,0,0,0
Youri Tielemans,Aston Villa,MID,1243,0,4,1,3,0
Ross Barkley,Aston Villa,MID,409,2,1,1,3,0
Leander Dendoncker,Aston Villa,MID,0,0,0,0,0,0
John McGinn,Aston Villa,MID,796,0,1,2,2,0
Morgan Rogers,Aston Villa,MID,1131,4,2,1,3,0
Moussa Diaby,Aston Villa,MID,0,0,0,0,0,0
Jaden Philogene,Aston Villa,MID,294,0,0,1,2,1
Jacob Ramsey,Aston Villa,MID,632,0,2,0,1,0
Boubacar Kamara,Aston Villa,MID,163,0,0,0,1,0
Kadan Young,Aston Villa,MID,0,0,0,0,0,0
Enzo Barrenechea,Aston Villa,MID,0,0,0,0,0,0
Ben Broggio,Aston Villa,MID,0,0,0,0,0,0
Amadou Onana,Aston Villa,MID,704,2,0,1,3,0
Samuel Iling-Junior,Aston Villa,MID,0,0,0,0,0,0
Jhon Durán,Aston Villa,FWD,348,4,0,0,2,0
Ollie Watkins,Aston Villa,FWD,1077,7,3,4,0,0
Mark Travers,Bournemouth,GK,270,0,0,0,0,0
Kepa Arrizabalaga,Bournemouth,GK,810,0,0,2,1,0
Alex Paulsen,Bournemouth,GK,0,0,0,0,0,0
Will Dennis,Bournemouth,GK,0,0,0,0,0,0
Norberto Murara Neto,Bournemouth,GK,180,0,0,0,0,0
Chris Mepham,Bournemouth,DEF,0,0,0,0,0,0
Adam Smith,Bournemouth,DEF,858,0,0,2,3,0
James Hill,Bournemouth,DEF,0,0,0,0,0,0
Dean Huijsen,Bournemouth,DEF,340,1,0,1,1,0
Illia Zabarnyi,Bournemouth,DEF,1260,0,0,2,2,0
Julián Araujo Zúñiga,Bournemouth,DEF,352,0,0,0,1,0
Max Aarons,Bournemouth,DEF,15,0,0,0,0,0
Max Kinsey,Bournemouth,DEF,0,0,0,0,0,0
Milos Kerkez,Bournemouth,DEF,1187,1,2,2,2,0
Marcos Senesi,Bournemouth,DEF,917,0,0,1,4,0
David Brooks,Bournemouth,MID,127,1,0,0,0,0
Dango Ouattara,Bournemouth,MID,489,1,1,1,0,0
Lewis Cook,Bournemouth,MID,1086,1,3,1,4,0
Philip Billing,Bournemouth,MID,39,0,0,0,0,0
Alex Scott,Bournemouth,MID,258,0,0,1,0,0
