Nama Pemain,Nomor Punggung,Posisi,Club,Negara
David Raya,22,GK,Arsenal,ESP
Thomas Partey,5,CM,Arsenal,GHA
Martin Ødegaard,8,RM,Arsenal,NOR
Oleksandr Zinchenko,17,LB,Arsenal,UKR
Jurriën Timber,12,LB,Arsenal,NED
Gabriel Magalhães,6,CB,Arsenal,BRA
William Saliba,2,CB,Arsenal,FRA
Ben White,4,RB,Arsenal,ENG
David Raya,22,GK,Arsenal,ESP
Gabriel Martinelli,11,CM,Arsenal,BRA
Martin Ødegaard,8,"RM,CM",Arsenal,NOR
Gabriel Jesus,9,FW,Arsenal,BRA
Thomas Partey,5,CM,Arsenal,GHA
Bukayo Saka,7,"RW,CM,RM",Arsenal,ENG
Riccardo Calafiori,33,"LB,CB",Arsenal,ITA
Leandro Trossard,19,"LW,LM",Arsenal,BEL
Kai Havertz,29,FW,Arsenal,GER
David Raya,22,GK,Arsenal,ESP
Ben White,4,RB,Arsenal,ENG
William Saliba,2,CB,Arsenal,FRA
Gabriel Magalhães,6,CB,Arsenal,BRA
Riccardo Calafiori,33,LB,Arsenal,ITA
Jurriën Timber,12,LB,Arsenal,NED
Declan Rice,41,LM,Arsenal,ENG
Martin Ødegaard,8,RM,Arsenal,NOR
Declan Rice,41,LM,Arsenal,ENG
Bukayo Saka,7,RW,Arsenal,ENG
Raheem Sterling,30,LM,Arsenal,ENG
Gabriel Martinelli,11,LM,Arsenal,BRA
Declan Rice,41,CM,Arsenal,ENG
Jorginho,20,CM,Arsenal,ITA
Mikel Merino,23,CM,Arsenal,ESP
Bukayo Saka,7,RM,Arsenal,ENG
Riccardo Calafiori,33,LB,Arsenal,ITA
Jakub Kiwior,15,LB,Arsenal,POL
Gabriel Magalhães,6,CB,Arsenal,BRA
William Saliba,2,CB,Arsenal,FRA
Leandro Trossard,19,LW,Arsenal,BEL
Thomas Partey,5,RB,Arsenal,GHA
David Raya,22,GK,Arsenal,ESP
Jorginho,20,CM,Arsenal,ITA
David Raya,22,GK,Arsenal,ESP
Ben White,4,"RB,CB",Arsenal,ENG
William Saliba,2,CB,Arsenal,FRA
Gabriel Magalhães,6,CB,Arsenal,BRA
Oleksandr Zinchenko,17,LB,Arsenal,UKR
Jurriën Timber,12,"LB,CB,RB",Arsenal,NED
Kai Havertz,29,"FW,LM",Arsenal,GER
Gabriel Martinelli,11,"LW,RW",Arsenal,BRA
Takehiro Tomiyasu,18,RB,Arsenal,JPN
Kai Havertz,29,FW,Arsenal,GER
Thomas Partey,5,CM,Arsenal,GHA
Reiss Nelson,24,RW,Arsenal,ENG
Gabriel Jesus,9,RM,Arsenal,BRA
Jurriën Timber,12,LB,Arsenal,NED
Myles Lewis-Skelly,49,LB,Arsenal,ENG
Gabriel Magalhães,6,CB,Arsenal,BRA
Jakub Kiwior,15,CB,Arsenal,POL
Ben White,4,CB,Arsenal,ENG
Thomas Partey,5,RB,Arsenal,GHA
David Raya,22,GK,Arsenal,ESP
Leandro Trossard,19,FW,Arsenal,BEL
Gabriel Jesus,9,"FW,LW",Arsenal,BRA
Bukayo Saka,7,RM,Arsenal,ENG
Kai Havertz,29,FW,Arsenal,GER
Ethan Nwaneri,53,"LM,RW",Arsenal,ENG
Mikel Merino,23,CM,Arsenal,ESP
Oleksandr Zinchenko,17,"CM,LM",Arsenal,UKR
Declan Rice,41,CM,Arsenal,ENG
Bukayo Saka,7,RM,Arsenal,ENG
Jurriën Timber,12,LB,Arsenal,NED
Ben White,4,"LB,CB",Arsenal,ENG
Gabriel Magalhães,6,CB,Arsenal,BRA
William Saliba,2,CB,Arsenal,FRA
Thomas Partey,5,RB,Arsenal,GHA
Gabriel Martinelli,11,LM,Arsenal,BRA
Declan Rice,41,LM,Arsenal,ENG
Declan Rice,41,CM,Arsenal,ENG
Ethan Nwaneri,53,FW,Arsenal,ENG
Bukayo Saka,7,RW,Arsenal,ENG
Leandro Trossard,19,LW,Arsenal,BEL
Gabriel Martinelli,11,LW,Arsenal,BRA
Kai Havertz,29,FW,Arsenal,GER
