Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
Liverpool,16,12,3,1,37,16,+21,39
Chelsea,17,10,5,2,37,19,+18,35
Arsenal,17,9,6,2,34,16,+18,33
Nottingham Forest,17,9,4,4,23,19,+4,31
Bournemouth,17,8,4,5,27,21,+6,28
Aston Villa,17,8,4,5,26,26,0,28
Manchester City,17,8,3,6,29,25,+4,27
Newcastle United,17,7,5,5,27,21,+6,26
Fulham,17,6,7,4,24,22,+2,25
Brighton and Hove Albion,17,6,7,4,27,26,+1,25
Tottenham Hotspur,17,7,2,8,39,25,+14,23
Brentford,17,7,2,8,32,32,0,23
Manchester United,17,6,4,7,21,22,-1,22
West Ham United,17,5,5,7,22,30,-8,20
Everton,16,3,7,6,14,21,-7,16
Crystal Palace,17,3,7,7,18,26,-8,16
Leicester City,17,3,5,9,21,37,-16,14
Wolverhampton Wanderers,17,3,3,11,27,40,-13,12
Ipswich Town,17,2,6,9,16,32,-16,12
Southampton,17,1,3,13,11,36,-25,6
